Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:40,0.758,4.026,308.9,0,0.049
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:45,0,0,0,0,0.028
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:50,0.659,1.365,323.6,0,0.03
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:55,1.296,6.151,322,0,0.039
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:00,1.18,6.739,322.5,0,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:05,1.468,7.15,319.2,0,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:10,0.851,4.217,313.6,0,0.032
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:15,0,0,0,0,0.043
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:20,0.009,0.099,293.1,0,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:25,0,0,0,0,0.039
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:30,0,0,0,0,0.042
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:35,0,0,0,0,0.04
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:40,0,0,0,0,0.036
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:45,0,0,0,0,0.04
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:50,0,0,0,0,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 04:55,0,0,0,0,0.035
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:00,0,0,0,0,0.028
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:05,0,0,0,0,0.024
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:10,0.611,8.96,338.5,0,0.029
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:15,0.886,7.88,333.4,0,0.03
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:20,0.895,9.14,337.7,0,0.033
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:25,0.905,8.69,340.1,0,0.028
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:30,1.03,8.29,331.6,0,0.027
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:35,0.955,2.988,319.8,0,0.035
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:40,1.046,3.949,331.5,0,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:45,0.78,5.933,336.8,0,0.035
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:50,0.328,5.9,345.8,0,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 05:55,0.733,8.91,356,0,0.042
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:00,1.061,6.781,357.5,0,0.049
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:05,1.377,9.27,0.26,0,0.053
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:10,0.872,8.87,4.546,0,0.109
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:15,0.928,5.873,9.96,0,0.305
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:20,0.95,9.41,6.58,0,0.653
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:25,0.785,7.15,1.877,0,1.224
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:30,0.323,3.961,12.78,0,2.123
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:35,0.491,6.178,32.44,0,3.485
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:40,0.127,3.825,29.42,0,6.12
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:45,0,0,0,0,9.92
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:50,0,0,0,0,16.28
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 06:55,0.224,5.436,353.2,0,24.55
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:00,0,0,0,0,34.16
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:05,0,0,0,0,44.88
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:10,0,0,0,0,58.07
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:15,0,0,0,0,72.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:20,0,0,0,0,86.8
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:25,0,0,0,0,103
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:30,0.067,1.101,300.3,0,116.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:35,0.238,1.316,308.9,0,129.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:40,0.481,2.367,308,0,141.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:45,0.06,0.875,314.7,0,151.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:50,0.776,4.464,329.5,0,164.8
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 07:55,0.953,7.07,336,0.108,177.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:00,0.392,8.26,343.2,0.437,188.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:05,0.41,8.07,0.539,0.854,201.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:10,1.004,8.13,335.3,0.864,213.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:15,0.517,12.1,349.9,1.16,235.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:20,1.542,12.34,340.4,1.296,237.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:25,1.597,10.83,340,1.427,252.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:30,1.641,12.85,338.4,1.596,258
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:35,1.596,14.51,343.8,1.75,280.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:40,2.128,13.22,335.8,1.919,291.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:45,1.717,11.34,344.3,2.207,291.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:50,2.028,11.16,334,2.428,310.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 08:55,2.263,8.56,339.3,2.495,323.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:00,2.088,11.87,336.2,2.599,334.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:05,1.928,13.1,332.9,2.894,344.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:10,1.815,18.36,334.5,3.024,354
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:15,1.92,25.36,341.7,3.111,363.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:20,1.865,16.79,343.5,3.329,371.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:25,1.848,16.43,354.8,3.5,375.8
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:30,1.68,19.69,343.9,3.768,384.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:35,1.743,16.22,345.3,3.765,393.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:40,1.284,18.32,358.6,3.884,398.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:45,1.744,18.48,351.1,3.996,410.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:50,1.544,31.57,319.7,4.079,409.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 09:55,1.378,14.73,328.9,4.195,421.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:00,0,0,0,4.565,429.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:05,1.528,24.59,327.4,4.664,433.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:10,1.783,18.33,325,4.745,441.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:15,1.758,18.7,325,5.012,443.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:20,1.617,17.59,320.5,4.991,448.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:25,1.315,23.78,326.5,5.127,451.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:30,0.188,3.823,295.8,5.378,445.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:35,0.341,7.83,315.3,5.487,404.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:40,0.929,20.98,304.4,6.021,416.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:45,0.826,22.57,337.5,5.716,471.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:50,1.405,18.03,5.763,5.72,460.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 10:55,0.728,24.63,14.18,5.876,465.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:00,0.773,11,350.3,5.982,476.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:05,0,0,0,6.712,476.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:10,1.141,9.68,319.5,6.379,475.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:15,0.455,15.14,306.8,6.154,467.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:20,0.315,2.671,311.9,6.734,472.8
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:25,0.913,14.83,298.7,6.443,461.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:30,0.396,12.11,291.1,6.664,483
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:35,0.168,13.44,285.6,7.06,475.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:40,0.422,11.61,279.4,7.19,475.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:45,1.265,49.27,324.8,7.06,462.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:50,1.292,36.97,338.6,6.899,463.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 11:55,0.243,2.532,309.3,6.982,456.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:00,0.824,31.2,0.734,7.18,457.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:05,0.138,6.362,103.9,7.25,461.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:10,0,0,0,7.49,462.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:15,0,0,0,7.96,455.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:20,0,0,0,7.72,447.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:25,0,0,0,7.99,442.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:30,0,0,0,8.08,437.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:35,0,0,0,7.9,432.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:40,0.212,5.995,256,7.74,428
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:45,0.871,25.18,323.3,7.99,425
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:50,0.18,6.15,325.4,8.01,415.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 12:55,0,0,0,8.08,411.8
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:00,0,0,0,7.97,406.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:05,0,0,0,8.32,400.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:10,0,0,0,8.58,379.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:15,0,0,0,8.51,382.1
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:20,0.347,15.19,211.5,8.89,377
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:25,1.98,12.22,264.1,8.59,369.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:30,1.193,9.62,236,8.59,358.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:35,0.705,13.23,196.6,8.56,348.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:40,0.89,48.17,261.5,8.62,338.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:45,1.355,18.86,255.4,8.85,329.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:50,1.039,33.48,218.2,8.63,320.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 13:55,1.228,15.64,250.9,8.85,308
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:00,0.412,5.425,273.2,8.9,293.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:05,1.326,24.66,239.2,8.97,278.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:10,1.292,29.98,308,8.86,265.2
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:15,1.327,12.67,241.4,9.12,250.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:20,1.786,12.55,242.5,9.11,242.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:25,1.115,18.48,231.3,8.92,232
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:30,1,27.09,231.6,8.95,221.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:35,0.948,25.96,201.3,8.69,211
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:40,0.761,15.84,206.1,8.61,198.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:45,0.638,14.88,271.2,8.96,186.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:50,0.625,14.45,275.4,9.21,172.6
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 14:55,1.201,16.96,256.3,9.3,157.7
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:00,1.476,10.31,258.9,8.98,147.5
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:05,1.159,15.02,247.7,9.09,135
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:10,0.939,18.53,279.9,8.98,122.9
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:15,0.811,12.58,281.6,8.98,108.3
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:20,0.863,7.72,251.3,8.97,92.4
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:25,0.86,8.07,254.3,9.06,80
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:30,0.898,8.4,269.9,8.74,63.67
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:35,0.443,5.864,268.3,8.6,41.23
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:40,0.662,6.081,286.9,8.31,26.88
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:45,0.546,3.957,293.3,8.11,21.66
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:50,0.935,4.739,305.9,7.68,13.43
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 15:55,1.128,5.594,309.9,7.27,8.55
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:00,0.879,7.47,310.3,6.961,6.51
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:05,1.319,7.79,318.9,6.591,4.892
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:10,1.333,2.413,334.5,6.393,3.58
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:15,1.288,5.789,335.9,6.305,2.503
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:20,1.004,11.25,351.3,6.219,1.64
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:25,0.841,7.23,2.451,6.334,0.967
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:30,0.96,4.663,2.971,6.462,0.483
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:35,1.038,5.948,2.929,6.613,0.196
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:40,1.008,4.591,2.431,6.56,0.098
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:45,1.004,13.64,11.74,6.412,0.064
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:50,0.219,0.855,43.03,5.776,0.063
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 16:55,0.663,2.638,65.96,5.234,0.06
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:00,0.465,9.36,36.19,4.784,0.068
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:05,0.443,7.6,56.7,4.946,0.069
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:10,0.598,8.88,42.79,4.844,0.064
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:15,0.84,6.969,70.3,4.458,0.062
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:20,0.884,4.782,51.57,4.05,0.072
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:25,0.776,5.213,48.08,4.271,0.068
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:30,0.708,5.896,33.49,4.161,0.063
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:35,0.016,0.007,27.18,3.733,0.071
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:40,0.266,1.426,22.81,3.943,0.07
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:45,0.076,2.504,58,4.15,0.068
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:50,0.783,7.12,22.63,3.906,0.06
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 17:55,0.911,4.102,25.3,3.764,0.059
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:00,0.35,1.875,25.37,3.701,0.051
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:05,0,0,0,3.784,0.048
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:10,0,0,0,4.095,0.052
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:15,0,0,0,3.991,0.054
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:20,0.609,1.508,24.65,3.839,0.041
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:25,0.424,1.434,24.35,3.819,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:30,0.812,2.771,25.22,3.971,0.026
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:35,0.776,3.26,20.45,3.889,0.028
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:40,1.344,5.138,12.65,3.945,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:45,0.791,5.61,359.8,3.88,0.032
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:50,0.208,12.15,0.135,4.022,0.051
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 18:55,0.433,11.41,28.28,3.809,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 19:00,0.108,1.977,78.3,3.334,0.042
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 19:05,0.323,10.15,51.29,3.206,0.045
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 19:10,0.329,1.153,12.47,3.174,0.048
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 19:15,0.708,3.637,20.43,3.347,0.032
